coleta_local,barragem,medida_em,percent_use,vertido,comportas,montante_local_m,detalhe
2026-08-29 00:30,Barragem Sul Ituporanga,29/08 00:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 00:49,Barragem Oeste Taió,29/08 00:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 00:49,Barragem Sul Ituporanga,29/08 00:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 01:00,Barragem Oeste Taió,29/08 00:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 01:00,Barragem Sul Ituporanga,29/08 00:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 01:19,Barragem Oeste Taió,29/08 01:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 01:19,Barragem Sul Ituporanga,29/08 01:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 01:30,Barragem Oeste Taió,29/08 01:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 01:30,Barragem Sul Ituporanga,29/08 01:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 01:49,Barragem Oeste Taió,29/08 01:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 01:49,Barragem Sul Ituporanga,29/08 01:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 02:00,Barragem Oeste Taió,29/08 01:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 02:00,Barragem Sul Ituporanga,29/08 01:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 02:19,Barragem Oeste Taió,29/08 02:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 02:19,Barragem Sul Ituporanga,29/08 02:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 02:30,Barragem Oeste Taió,29/08 02:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 02:30,Barragem Sul Ituporanga,29/08 02:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 02:49,Barragem Oeste Taió,29/08 02:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 02:49,Barragem Sul Ituporanga,29/08 02:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 03:00,Barragem Oeste Taió,29/08 02:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 03:00,Barragem Sul Ituporanga,29/08 02:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 03:19,Barragem Oeste Taió,29/08 03:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 03:19,Barragem Sul Ituporanga,29/08 03:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 03:30,Barragem Oeste Taió,29/08 03:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 03:30,Barragem Sul Ituporanga,29/08 03:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 03:49,Barragem Oeste Taió,29/08 03:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 03:49,Barragem Sul Ituporanga,29/08 03:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 04:00,Barragem Oeste Taió,29/08 03:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 04:00,Barragem Sul Ituporanga,29/08 03:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 04:19,Barragem Oeste Taió,29/08 04:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 04:19,Barragem Sul Ituporanga,29/08 04:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 04:30,Barragem Oeste Taió,29/08 04:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 04:30,Barragem Sul Ituporanga,29/08 04:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 04:49,Barragem Oeste Taió,29/08 04:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 04:49,Barragem Sul Ituporanga,29/08 04:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 05:00,Barragem Oeste Taió,29/08 04:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 05:00,Barragem Sul Ituporanga,29/08 04:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 05:19,Barragem Oeste Taió,29/08 05:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 05:19,Barragem Sul Ituporanga,29/08 05:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 05:30,Barragem Oeste Taió,29/08 05:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 05:30,Barragem Sul Ituporanga,29/08 05:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 05:49,Barragem Oeste Taió,29/08 05:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 05:49,Barragem Sul Ituporanga,29/08 05:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-29 06:00,Barragem Oeste Taió,29/08 05:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-29 06:00,Barragem Sul Ituporanga,29/08 05:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
